"Story","Title","Result","Date","Stability","Duration (s)"
"Story","find max of three numbers","SUCCESS","2018-10-21T16:40:11.28+07:00[Asia/Bangkok]","0.0","0.32"
"Story","find max of three numbers 2","SUCCESS","2018-10-21T16:40:14.094+07:00[Asia/Bangkok]","0.0","0.18"
